Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,17,17,26.4,4.5,7.4,0.611,0,0,,4.5,7.4,0.611,0.611,1.4,2.6,0.511,2.8,6.2,9,2.8,0.5,1,1.4,1.9,10.4
2,Bam Adebayo\adebaba01,C,22,MIA,21,21,32.6,5.1,9,0.563,0,0.3,0.167,5,8.8,0.576,0.566,3.6,5.5,0.655,2.4,7.9,10.3,4,1.4,1.2,2.8,2.5,13.9
3,LaMarcus Aldridge\aldrila01,C,34,SAS,20,20,32.8,7.7,14.8,0.517,0.6,1.6,0.355,7.1,13.3,0.536,0.535,3,3.6,0.833,2.1,4.7,6.7,2.5,0.7,1.8,1.7,2.2,18.9
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,17,0,14.2,2.3,7.1,0.322,1.3,3.8,0.338,1,3.3,0.304,0.413,0.6,0.8,0.714,0.2,2.1,2.3,2.1,0.3,0.1,1.2,1.5,6.5
5,Grayson Allen\allengr01,SG,24,MEM,11,0,19,2.4,6.8,0.347,1,3.3,0.306,1.4,3.5,0.385,0.42,1.4,1.5,0.882,0.2,2.9,3.1,1.6,0.4,0,1.1,1.7,7.1
6,Jarrett Allen\allenja01,C,21,BRK,21,18,26.6,4.7,7,0.671,0,0,0,4.7,6.9,0.676,0.671,2.6,4.4,0.598,3.6,7,10.6,1.2,0.7,1.3,1.1,2.6,12
7,Kadeem Allen\allenka01,SG,27,NYK,1,0,16,3,6,0.5,3,4,0.75,0,2,0,0.75,0,0,,0,0,0,2,1,0,1,1,9
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3
9,Kyle Anderson\anderky01,PF,26,MEM,17,0,20.5,2.8,5.5,0.505,0.2,0.9,0.25,2.5,4.5,0.558,0.527,0.9,1.6,0.571,0.9,3.5,4.4,2.6,0.7,0.7,0.9,1.7,6.7
10,Ryan Anderson\anderry01,PF,31,HOU,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5
11,Giannis Antetokounmpo\antetgi01,PF,25,MIL,22,22,31.7,11.5,20.3,0.565,1.6,5,0.318,9.9,15.3,0.646,0.604,6.5,11,0.591,2.6,10.6,13.2,5.5,1.4,1.4,3.9,3.2,31
12,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0
13,Thanasis Antetokounmpo\antetth01,SF,27,MIL,4,0,6.3,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.5,1,0.5,0.8,0,0.8,1,0,0,0.5,0.8,3.5
14,Carmelo Anthony\anthoca01,PF,35,POR,8,8,31,6.5,14.5,0.448,1.5,3.9,0.387,5,10.6,0.471,0.5,2.4,2.8,0.864,1,4.9,5.9,1.8,0.6,0.3,1.9,3.3,16.9
15,OG Anunoby\anunoog01,SF,22,TOR,19,19,29.6,4.3,8.1,0.532,1.6,3.6,0.456,2.7,4.5,0.593,0.633,0.7,1.3,0.52,0.9,4.6,5.5,1.7,1.2,0.9,1.2,2.5,10.9
16,Ryan Arcidiacono\arcidry01,PG,25,CHI,22,0,16.7,1.4,3.6,0.388,1,2.2,0.429,0.5,1.4,0.323,0.519,0.7,0.9,0.75,0.5,1.2,1.7,1.8,0.5,0.1,0.7,2,4.5
17,Trevor Ariza\arizatr01,SF,34,SAC,13,0,21.2,1.5,4.3,0.339,1.1,3.2,0.333,0.4,1.1,0.357,0.464,0.5,0.7,0.778,0.4,3.1,3.5,0.8,0.8,0.2,0.8,1.6,4.5
18,D.J. Augustin\augusdj01,PG,32,ORL,21,5,25.7,3.2,8.2,0.387,1,3.3,0.319,2.1,5,0.433,0.451,2.1,2.4,0.882,0.5,2,2.5,4.6,0.6,0,1.4,1.1,9.6
19,Deandre Ayton\aytonde01,C,21,PHO,1,1,33,9,14,0.643,0,0,,9,14,0.643,0.643,0,0,,3,8,11,0,1,4,0,2,18
20,Dwayne Bacon\bacondw01,SG,24,CHO,17,10,20.4,2.8,8.5,0.326,0.6,2.4,0.25,2.2,6.1,0.356,0.361,1.1,1.6,0.679,0.5,2.2,2.7,1.2,0.8,0.1,1.1,1.8,7.2
21,Marvin Bagley\baglema01,PF,20,SAC,1,1,28,6,16,0.375,0,0,,6,16,0.375,0.375,2,4,0.5,4,6,10,0,1,1,1,1,14
22,Lonzo Ball\balllo01,PG,22,NOP,13,10,27.8,4.1,10.9,0.373,2.3,6.8,0.341,1.8,4.2,0.426,0.479,0.5,0.8,0.6,0.8,3.4,4.2,5.6,1.1,0.2,2.4,1.9,10.9
23,Mo Bamba\bambamo01,C,21,ORL,19,0,15.5,2.3,5.3,0.43,0.7,1.9,0.389,1.5,3.4,0.453,0.5,0.2,0.4,0.5,1.4,3.9,5.3,0.5,0.3,1.4,1.4,2.3,5.5
24,J.J. Barea\bareajo01,PG,35,DAL,4,0,13.8,4,8,0.5,2.3,3.3,0.692,1.8,4.8,0.368,0.641,0.5,0.5,1,0.3,1.3,1.5,3,0.5,0.3,1,0.3,10.8
25,Harrison Barnes\barneha02,PF,27,SAC,20,20,35.1,5.6,11.6,0.485,1.5,3.9,0.372,4.2,7.7,0.542,0.548,3.6,4.5,0.8,1.1,3.8,4.9,2.1,1,0.2,1.4,1.3,16.3
26,RJ Barrett\barrerj01,SG,19,NYK,20,20,32.5,5.5,13.8,0.396,1,3.2,0.317,4.5,10.6,0.42,0.433,2.8,5.3,0.533,1.2,4.1,5.3,3.2,1.3,0.5,2.5,2.6,14.7
27,Will Barton\bartowi01,SF,29,DEN,16,16,33.1,5.6,12.6,0.441,1.9,4.8,0.395,3.7,7.9,0.468,0.515,1.8,2.4,0.737,1.8,5.4,7.3,3.5,1,0.4,1.4,2.3,14.8
28,Keita Bates-Diop\bateske01,SF,24,MIN,9,0,19,3.3,5.7,0.588,1.7,3.1,0.536,1.7,2.6,0.652,0.735,0.6,0.9,0.625,0.6,2.3,2.9,0.3,0.4,0.4,0.6,1.1,8.9
29,Nicolas Batum\batumni01,SF,31,CHO,12,0,21.7,1.3,3.3,0.385,0.7,2.4,0.276,0.6,0.8,0.7,0.487,0.4,0.4,1,1.1,3.3,4.4,3.3,0.8,0.6,1.5,1.6,3.6
30,Aron Baynes\baynear01,C,33,PHO,13,12,24,5.5,9.7,0.563,1.9,4.4,0.439,3.5,5.3,0.667,0.663,1.8,2.6,0.706,1.5,4.2,5.7,2.9,0.3,0.7,1.1,3.9,14.7
31,Kent Bazemore\bazemke01,SF,30,POR,22,2,22.3,2.5,7.3,0.35,1.2,3.5,0.355,1.3,3.8,0.345,0.434,1.4,1.8,0.775,0.4,4,4.4,1.7,1,0.8,1.4,2.9,7.7
32,Darius Bazley\bazleda01,PF,19,OKC,20,0,16.8,1.6,3.8,0.413,0.7,1.9,0.368,0.9,1.9,0.459,0.507,0.5,0.8,0.563,0.4,3.2,3.5,0.6,0.3,0.5,0.8,0.9,4.3
33,Bradley Beal\bealbr01,SG,26,WAS,19,19,36.8,10.2,21.5,0.472,2.7,7.9,0.347,7.4,13.6,0.544,0.535,5.7,6.9,0.824,0.9,3.5,4.4,7.2,1.1,0.2,3.3,2.6,28.7
34,Malik Beasley\beaslma01,SG,23,DEN,14,0,15.4,2.4,6.4,0.382,1.3,2.9,0.439,1.1,3.4,0.333,0.483,0.4,0.4,1,0.3,1.1,1.4,1.1,0.6,0.1,1.1,1.2,6.5
35,Marco Belinelli\belinma01,SG,33,SAS,20,0,16.1,1.8,6,0.294,0.9,3,0.305,0.9,3,0.283,0.37,0.8,1.1,0.714,0.1,1.6,1.7,1.6,0.3,0,0.5,0.8,5.2
36,Jordan Bell\belljo01,C,25,MIN,10,0,7.9,1.1,2,0.55,0,0.3,0,1.1,1.7,0.647,0.55,0.9,1.3,0.692,1,2.3,3.3,0.6,0,0.4,1.3,0.7,3.1
37,DeAndre' Bembry\bembrde01,SG,25,ATL,22,4,26.4,3.1,6.5,0.486,0.4,1.6,0.257,2.7,4.9,0.561,0.518,0.8,1.7,0.486,1.1,3.6,4.7,2.9,1.5,0.5,1.5,2.3,7.5
38,Dragan Bender\bendedr01,SF,22,MIL,3,0,9.7,2,2.7,0.75,0.7,1.3,0.5,1.3,1.3,1,0.875,0.3,0.3,1,0,0.7,0.7,1,0,0.7,0.3,2,5
39,Dāvis Bertāns\bertada01,PF,27,WAS,19,1,28.3,4.5,9.8,0.462,3.5,7.8,0.446,1.1,2,0.526,0.64,1.1,1.3,0.875,0.8,3.7,4.5,1.7,0.6,0.6,0.7,2.6,13.6
40,Patrick Beverley\beverpa01,PG,31,LAC,20,20,29.8,2.8,7.3,0.379,1.3,4.3,0.291,1.5,3,0.508,0.466,0.7,1.2,0.609,1.4,4.8,6.2,3.3,1.5,0.6,1.5,3.8,7.5
41,Khem Birch\birchkh01,C,27,ORL,12,7,21.7,1.7,3.3,0.513,0,0.1,0,1.7,3.2,0.526,0.513,1,2.1,0.48,2,3.8,5.8,1,0.5,0.6,0.6,2.8,4.3
42,Goga Bitadze\bitadgo01,C,20,IND,15,2,13.4,1.7,3.7,0.473,0.3,0.8,0.333,1.5,2.9,0.512,0.509,0.9,1.3,0.737,1.1,2.3,3.3,0.9,0.1,1.2,0.7,2.1,4.7
43,Bismack Biyombo\biyombi01,C,27,CHO,21,6,16.8,3,5.1,0.574,0,0,,3,5.1,0.574,0.574,1.7,3.1,0.554,1.6,2.8,4.3,0.9,0.3,0.8,0.7,2,7.6
44,Nemanja Bjelica\bjeline01,PF,31,SAC,20,19,26.3,4.2,8.8,0.477,1.8,4.1,0.427,2.5,4.7,0.521,0.577,0.7,0.8,0.933,2,4.8,6.8,2.6,0.9,0.6,1.8,2.9,10.9
45,Eric Bledsoe\bledser01,PG,30,MIL,22,22,27,5.8,12.3,0.47,1.1,3.6,0.313,4.6,8.6,0.537,0.517,2.5,3.2,0.786,0.9,4.2,5.1,5.6,0.8,0.5,2.2,2.5,15.2
46,Bogdan Bogdanović\bogdabo01,SG,27,SAC,18,0,27.5,5.2,12.7,0.406,2.8,7.2,0.385,2.4,5.5,0.434,0.515,1.7,2.3,0.714,0.2,2.5,2.7,4.7,1.4,0.1,1.9,1.8,14.8
47,Bojan Bogdanović\bogdabo02,SF,30,UTA,21,21,33.2,7.2,15.3,0.47,3.2,7,0.459,4,8.3,0.48,0.575,3.4,3.9,0.878,0.7,3.6,4.3,2.1,0.8,0.2,2.7,2,21
48,Jonah Bolden\boldejo01,PF,24,PHI,2,0,2.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,1,0,0,0,0,0,0.5,0,0.5,0,1
49,Jordan Bone\bonejo01,PG,22,DET,3,0,2,0.7,1.7,0.4,0,0.3,0,0.7,1.3,0.5,0.4,0,0,,0,0,0,0,0,0,0.7,0.7,1.3
50,Isaac Bonga\bongais01,SF,20,WAS,14,8,15.4,1.6,3,0.524,0.3,0.7,0.4,1.3,2.3,0.563,0.571,0.5,0.7,0.7,0.8,2.1,2.9,1.2,0.6,0.1,0.6,2,3.9
51,Devin Booker\bookede01,SG,23,PHO,20,20,35.3,8.6,17.1,0.504,2.2,5.4,0.407,6.4,11.7,0.549,0.569,4.7,5,0.939,0.5,3.2,3.7,6.2,0.6,0.4,4.1,3.1,24.1
52,Chris Boucher\bouchch01,PF,27,TOR,17,0,12.8,2.1,4.8,0.444,0.5,1.6,0.286,1.6,3.1,0.528,0.494,1.2,1.7,0.69,2.2,2.5,4.7,0.6,0.4,0.9,0.4,1.5,5.9
53,Brian Bowen\bowenbr02,SG,21,IND,3,0,3.3,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0,0,,0,0.3,0.3,0,0,0.3,0,0,0.7
54,Ky Bowman\bowmaky01,PG,22,GSW,23,6,23.6,3.5,7.9,0.448,1,2.5,0.397,2.5,5.3,0.472,0.511,0.8,0.9,0.95,0.6,2.3,2.8,2.7,1,0.1,1.3,2,8.9
55,Avery Bradley\bradlav01,SG,29,LAL,10,10,27.4,4.1,8.4,0.488,0.8,2.8,0.286,3.3,5.6,0.589,0.536,0.6,0.8,0.75,0.7,2.5,3.2,1.8,1,0.1,1.1,2.6,9.6
56,Tony Bradley\bradlto01,C,22,UTA,16,2,9.8,1.8,2.9,0.63,0,0,,1.8,2.9,0.63,0.63,0.7,1,0.688,1.3,2.3,3.5,0.3,0.1,0.5,0.5,1.8,4.3
57,Jarrell Brantley\brantja01,PF,23,UTA,2,0,4.5,0,0,,0,0,,0,0,,,0,0,,0,2,2,0.5,0,1,0.5,0.5,0
58,Ignas Brazdeikis\brazdig01,SF,21,NYK,6,0,7,0.8,3.2,0.263,0.2,1.2,0.143,0.7,2,0.333,0.289,0.5,0.7,0.75,0.3,0.3,0.7,0.2,0,0.2,0.3,0.3,2.3
59,Mikal Bridges\bridgmi01,SF,23,PHO,20,0,20.6,2.4,5.2,0.462,0.5,1.8,0.257,2,3.5,0.565,0.505,1.4,1.8,0.778,0.9,2.7,3.6,1.1,1.4,0.3,0.6,1.8,6.7
60,Miles Bridges\bridgmi02,SF,21,CHO,23,23,30.7,5,11,0.453,1.6,4.3,0.36,3.4,6.7,0.513,0.524,1,1.4,0.75,1.4,4,5.4,1.9,0.5,0.8,1.6,2.1,12.6
61,Oshae Brissett\brissos01,SF,21,TOR,4,0,4.3,0.3,0.8,0.333,0.3,0.3,1,0,0.5,0,0.5,0,0,,0,0.3,0.3,0.3,0.3,0,0.3,0,0.8
62,Ryan Broekhoff\broekry01,SG,29,DAL,4,0,6.3,1,2,0.5,1,1.3,0.8,0,0.8,0,0.75,0,0,,0,1.3,1.3,0.8,0.3,0,0.3,0.3,3
63,Malcolm Brogdon\brogdma01,PG,27,IND,18,18,31.8,6.9,14.7,0.472,1.4,4.3,0.338,5.5,10.4,0.527,0.521,3.6,3.8,0.941,0.7,4.2,4.9,7.9,0.9,0.2,2.8,2.1,18.9
64,Dillon Brooks\brookdi01,SG,24,MEM,21,21,27.6,4.8,12.3,0.39,1.7,4.5,0.379,3.1,7.8,0.396,0.459,1.9,2.3,0.816,1.1,2.5,3.6,2,1,0.4,1.3,4,13.2
65,Bruce Brown\brownbr01,SG,23,DET,22,18,26.5,3,7,0.431,0.5,1.6,0.333,2.5,5.3,0.462,0.471,0.9,1.7,0.541,0.7,3.3,4,3.5,1,0.5,1.9,2.7,7.5
66,Charlie Brown\brownch02,SG,22,ATL,4,0,4,0.3,0.8,0.333,0.3,0.3,1,0,0.5,0,0.5,1,1,1,0.5,0.3,0.8,0,0,0.3,0,0,1.8
67,Jaylen Brown\brownja02,SF,23,BOS,17,17,33.5,7.5,15.1,0.494,2,5.2,0.382,5.5,9.9,0.554,0.56,3,4.2,0.718,1.2,5.8,6.9,1.9,1.2,0.3,1.6,3.1,19.9
68,Moses Brown\brownmo01,C,20,POR,4,0,3.8,0.8,1.8,0.429,0,0,,0.8,1.8,0.429,0.429,0.5,1,0.5,0.5,1.8,2.3,0,0.3,0,0.3,1,2
69,Sterling Brown\brownst02,SF,24,MIL,15,0,17,2.1,4.9,0.419,1,2.7,0.375,1.1,2.3,0.471,0.52,0.7,0.9,0.769,0.7,4.3,5,1.5,0.5,0.1,1,1.4,5.8
70,Troy Brown\browntr01,SG,20,WAS,16,11,21.1,2.9,6.6,0.438,0.4,1.7,0.259,2.4,4.9,0.5,0.471,0.7,0.9,0.786,1.4,3.8,5.1,1.8,1.3,0.1,1.1,1.4,6.9
71,Jalen Brunson\brunsja01,PG,23,DAL,21,3,16,3,6.1,0.481,0.6,2,0.293,2.4,4.2,0.568,0.527,1,1.5,0.71,0.6,1.9,2.5,2.7,0.5,0,0.9,1.2,7.5
72,Thomas Bryant\bryanth01,C,22,WAS,18,18,28.4,5.6,10.2,0.549,0.6,1.9,0.286,5.1,8.3,0.611,0.576,2.2,2.9,0.736,2.3,6.2,8.5,2.7,0.4,1,1.3,2.4,13.9
73,Trey Burke\burketr01,PG,27,PHI,7,0,17.4,2.3,6.4,0.356,0.7,1.9,0.385,1.6,4.6,0.344,0.411,0.9,1.1,0.75,0.6,1,1.6,3.3,0.4,0.1,0.6,0.7,6.1
74,Alec Burks\burksal01,SG,28,GSW,20,10,29.2,5,12.2,0.412,1.5,4.2,0.349,3.6,8,0.444,0.471,3.6,4.1,0.877,0.7,3.8,4.4,2.8,1,0.3,1.4,2.2,15
75,Deonte Burton\burtode02,SG,26,OKC,12,0,8.4,1.1,2.8,0.394,0.4,1.4,0.294,0.7,1.3,0.5,0.47,0.3,0.3,0.75,0.3,1.5,1.8,0.3,0.1,0.1,0.3,0.9,2.8
76,Jimmy Butler\butleji01,SF,30,MIA,17,17,34.1,5.8,13.4,0.436,1.1,3.3,0.321,4.8,10.1,0.474,0.476,7.4,8.6,0.856,2.1,3.9,6,6.5,2.4,0.7,2.5,1.2,20.1
77,Bruno Caboclo\cabocbr01,SF,24,MEM,13,0,10.9,1.6,4.1,0.396,0.2,1.5,0.158,1.4,2.6,0.529,0.425,0.2,0.2,0.667,1,1.5,2.5,0.6,0.5,0.8,0.5,1.2,3.6
78,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,22,12,23.7,3.1,6.8,0.453,1.1,2.9,0.391,2,3.9,0.5,0.537,0.7,0.9,0.8,0.5,1.7,2.2,1.5,0.8,0.2,0.9,1.7,8
79,Vlatko Čančar\cancavl01,SF,22,DEN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
80,Clint Capela\capelca01,C,25,HOU,16,16,32.8,6.8,10.4,0.657,0,0,,6.8,10.4,0.657,0.657,1.4,3.1,0.469,4,11.1,15.1,1.1,0.9,2,1.5,2.9,15.1
81,DeMarre Carroll\carrode01,SF,33,SAS,11,0,10.9,0.6,2.3,0.28,0.3,1.1,0.25,0.4,1.2,0.308,0.34,0.9,1.3,0.714,0.6,2,2.6,0.9,0.2,0.2,0.8,1.5,2.5
82,Jevon Carter\carteje01,PG,24,PHO,15,2,14.9,1.5,3.7,0.4,0.9,2.3,0.412,0.5,1.4,0.381,0.527,0.3,0.3,1,0.2,1.6,1.8,1.9,0.9,0.3,1,1.6,4.1
83,Vince Carter\cartevi01,SF,43,ATL,17,0,14.9,1.8,5.4,0.341,0.9,3.6,0.246,0.9,1.8,0.533,0.423,0.4,0.5,0.75,0.2,1.8,1.9,0.7,0.4,0.3,0.6,1.7,4.9
84,Wendell Carter\cartewe01,C,20,CHI,22,22,29.5,4.9,8.6,0.568,0.1,0.7,0.133,4.8,8,0.606,0.574,2.8,4,0.697,3.6,6.3,9.9,0.9,0.7,0.9,1.6,4,12.7
85,Michael Carter-Williams\cartemi01,SG,28,ORL,11,0,14.7,1.4,4.7,0.288,0.3,1.7,0.158,1.1,3,0.364,0.317,1.7,2.1,0.826,1.1,1.9,3,1.6,0.7,0.5,1,1.5,4.7
86,Alex Caruso\carusal01,PG,25,LAL,20,0,20,2,4.6,0.435,0.7,2.1,0.31,1.4,2.5,0.54,0.505,0.4,0.6,0.667,0.2,1.9,2,1.9,1.1,0.4,1.1,1.6,5.1
87,Willie Cauley-Stein\caulewi01,C,26,GSW,20,19,22.2,3.4,6.2,0.545,0,0,,3.4,6.2,0.545,0.545,0.8,1.2,0.696,1.4,5.1,6.5,1.6,1.1,1.2,1,2.9,7.5
88,Tyson Chandler\chandty01,C,37,HOU,18,4,9.1,0.7,0.9,0.765,0,0,,0.7,0.9,0.765,0.765,0.3,0.5,0.556,1.1,1.7,2.7,0.3,0.3,0.4,0.3,1.3,1.7
89,Zylan Cheatham\cheatzy01,SF,24,NOP,2,0,10,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,0,1.5,1.5,0.5,0,0,0.5,1.5,1
90,Chris Chiozza\chiozch01,PG,24,WAS,5,0,9.6,0.4,2.2,0.182,0.4,0.8,0.5,0,1.4,0,0.273,0,0,,0,1,1,1.8,0.8,0.4,1,1.2,1.2
91,Marquese Chriss\chrisma01,PF,22,GSW,22,1,18,2.5,5.3,0.47,0.1,0.8,0.176,2.4,4.5,0.52,0.483,2,2.3,0.86,1.4,3.4,4.7,2,0.8,1,1.5,2,7.1
92,Gary Clark\clarkga01,PF,25,HOU,7,0,10.3,1.1,3.1,0.364,0.7,2.6,0.278,0.4,0.6,0.75,0.477,0,0,,0.9,1.6,2.4,0.7,0.1,0.1,0.1,1.1,3
93,Brandon Clarke\clarkbr01,PF,23,MEM,18,2,21.2,5.1,8.1,0.63,0.6,1.2,0.455,4.6,6.9,0.661,0.664,1.1,1.3,0.826,1.3,4.6,5.9,1.3,0.5,0.9,1.1,1.7,11.8
94,Jordan Clarkson\clarkjo01,SG,27,CLE,20,0,22.4,4.6,10.9,0.417,1.8,5,0.35,2.8,5.9,0.475,0.498,3.1,3.5,0.886,0.6,1.6,2.2,2.5,0.6,0.3,1.3,1.2,14
95,Nicolas Claxton\claxtni01,PF,20,BRK,9,0,13.2,1.2,2.3,0.524,0,0.6,0,1.2,1.8,0.688,0.524,0.6,1.3,0.417,0.9,1.6,2.4,1.2,0.1,0.6,0.7,1.1,3
96,Chris Clemons\clemoch01,SG,22,HOU,14,0,9.1,1.7,4.1,0.414,1.3,3.3,0.391,0.4,0.9,0.5,0.569,0.2,0.3,0.75,0.1,0.5,0.6,0.4,0.2,0.1,0.4,1,4.9
97,John Collins\collijo01,PF,22,ATL,5,5,32.2,6.4,12.2,0.525,1.8,3.8,0.474,4.6,8.4,0.548,0.598,2.4,3.4,0.706,2,6.8,8.8,1.6,1,2,1.4,3.4,17
98,Zach Collins\colliza01,PF,22,POR,3,3,28.7,3,6.3,0.474,1,2.3,0.429,2,4,0.5,0.553,2,2,1,1.3,2.7,4,2,0,0.7,2,3.7,9
99,Mike Conley\conlemi01,PG,32,UTA,21,21,29.9,4.6,12.5,0.369,1.9,5.1,0.374,2.7,7.4,0.365,0.445,2.8,3.5,0.795,0.8,2.7,3.5,4.6,0.7,0.2,2.1,2.1,13.9
100,Pat Connaughton\connapa01,SG,27,MIL,20,0,18,2.1,4.5,0.472,0.8,2.5,0.32,1.3,2,0.667,0.562,0.6,0.8,0.75,0.5,3.6,4.1,1.9,0.3,0.6,0.6,1,5.6
101,Quinn Cook\cookqu01,PG,26,LAL,18,0,13.7,2.2,5.1,0.435,0.7,1.8,0.364,1.6,3.3,0.475,0.5,0.2,0.3,0.8,0.2,1.1,1.3,1.6,0.3,0.1,0.8,0.6,5.3
102,Tyler Cook\cookty01,PF,22,CLE,6,0,2.8,0.8,1,0.833,0,0,,0.8,1,0.833,0.833,0.3,0.3,1,0.5,0.3,0.8,0,0.2,0,0.2,0.2,2
103,Robert Covington\covinro01,PF,29,MIN,19,19,27.3,4.3,9.4,0.455,2.2,5.7,0.376,2.1,3.6,0.58,0.57,1.9,2.2,0.881,0.7,4.7,5.4,1.2,1.4,0.9,1.5,2.9,12.6
104,Allen Crabbe\crabbal01,SG,27,ATL,10,1,18.9,2,5.4,0.37,0.8,3.3,0.242,1.2,2.1,0.571,0.444,0.5,0.7,0.714,0.5,2.2,2.7,0.9,0.5,0.2,0.4,0.7,5.3
105,Torrey Craig\craigto01,SF,29,DEN,13,2,14.4,1.1,3.2,0.341,0.3,1.5,0.2,0.8,1.6,0.476,0.39,0.3,0.7,0.444,0.7,2,2.7,1.2,0.4,0.8,0.4,2,2.8
106,Jae Crowder\crowdja01,SF,29,MEM,21,21,31,3.6,9.1,0.398,2.2,6.6,0.333,1.4,2.5,0.566,0.518,1.4,2,0.707,0.8,5.2,6,2.8,0.8,0.4,1.4,2,10.8
107,Jarrett Culver\culveja01,SG,20,MIN,20,10,24,3.6,9.7,0.373,1.1,4,0.278,2.5,5.7,0.439,0.43,1,2.2,0.432,1.1,2.4,3.5,2.5,1,0.6,1.4,2.1,9.3
108,Seth Curry\curryse01,SG,29,DAL,19,9,21.4,2.7,6.4,0.43,1.5,4,0.382,1.2,2.4,0.511,0.55,1.4,1.5,0.929,0.3,1.5,1.8,1.6,0.6,0.2,0.8,1.8,8.4
109,Stephen Curry\curryst01,PG,31,GSW,4,4,28,6.8,16.5,0.409,2.3,9.3,0.243,4.5,7.3,0.621,0.477,4.5,4.5,1,1,4,5,6.5,1.3,0.5,3.8,2.5,20.3
110,Troy Daniels\danietr01,SG,28,LAL,17,0,14.7,1.8,4.9,0.361,1.2,3.6,0.328,0.6,1.3,0.455,0.482,0.2,0.2,0.75,0.2,1.2,1.5,0.4,0.4,0.1,0.3,0.6,4.9
111,Anthony Davis\davisan02,PF,26,LAL,21,21,34.2,9,18.5,0.49,1.1,3.2,0.343,8,15.3,0.52,0.519,6.9,8,0.862,2.5,6.6,9.1,3.2,1.4,2.7,2.3,2.4,26
112,Ed Davis\davised01,C,30,UTA,10,0,12.1,0.8,1.8,0.444,0,0,,0.8,1.8,0.444,0.444,0.3,0.6,0.5,1.4,3.5,4.9,0.4,0.2,0.6,0.9,2.5,1.9
113,Terence Davis\daviste02,SG,22,TOR,20,0,15.8,2.5,5,0.49,1.2,2.7,0.426,1.3,2.3,0.565,0.605,0.7,0.8,0.933,0.6,2.5,3.1,2,0.4,0.3,0.7,2,6.8
114,Dewayne Dedmon\dedmode01,C,30,SAC,20,4,14.9,2.1,5,0.42,0.6,2.4,0.234,1.6,2.7,0.585,0.475,0.6,0.7,0.846,1.3,2.9,4.2,0.4,0.5,0.6,1.5,2.6,5.3
115,Matthew Dellavedova\dellama01,PG,29,CLE,18,0,13.1,0.8,3,0.259,0.2,1.8,0.094,0.6,1.2,0.5,0.287,0.7,0.7,0.923,0.2,1.1,1.3,2.1,0.4,0.1,0.8,1.5,2.4
